Setting;KV
0;1,74
0,1;2,03
0,2;2,28
0,3;2,51
0,4;2,73
0,5;2,95
0,6;3,16
0,7;3,38
0,8;3,61
0,9;3,85
1;4,1
1,1;4,37
1,2;4,65
1,3;4,95
1,4;5,26
1,5;5,59
1,6;5,93
1,7;6,28
1,8;6,64
1,9;7,01
2;7,39
2,1;7,78
2,2;8,17
2,3;8,56
2,4;8,96
2,5;9,36
2,6;9,76
2,7;10,17
2,8;10,58
2,9;10,99
3;11,41
3,1;11,84
3,2;12,27
3,3;12,71
3,4;13,16
3,5;13,62
3,6;14,1
3,7;14,6
3,8;15,12
3,9;15,66
4;16,23
4,1;16,84
4,2;17,47
4,3;18,14
4,4;18,84
4,5;19,59
4,6;20,38
4,7;21,21
4,8;22,08
4,9;23
5;23,96
5,1;24,96
5,2;26
5,3;27,07
5,4;28,17
5,5;29,3
5,6;30,44
5,7;31,64
5,8;32,83
5,9;34,01
6;35,14
6,1;36,23
6,2;37,24
6,3;38,14
6,4;38,93
6,5;39,56
