Setting;KV
0;0,13
0,1;0,15
0,2;0,19
0,3;0,24
0,4;0,3
0,5;0,37
0,6;0,45
0,7;0,53
0,8;0,61
0,9;0,68
1;0,76
1,1;0,84
1,2;0,92
1,3;0,99
1,4;1,06
1,5;1,13
1,6;1,21
1,7;1,28
1,8;1,35
1,9;1,43
2;1,5
2,1;1,59
2,2;1,67
2,3;1,76
2,4;1,86
2,5;1,96
2,6;2,07
2,7;2,19
2,8;2,31
2,9;2,44
3;2,58
3,1;2,72
3,2;2,87
3,3;3,03
3,4;3,19
3,5;3,36
3,6;3,53
3,7;3,7
3,8;3,87
3,9;4,05
4;4,23
4,1;4,4
4,2;4,58
4,3;4,75
4,4;4,91
4,5;5,07
4,6;5,22
4,7;5,37
4,8;5,51
4,9;5,64
5;5,77
5,1;5,88
5,2;6
5,3;0
5,4;0
5,5;0
5,6;0
5,7;0
5,8;0
5,9;0
6;0
6,1;0
6,2;0
6,3;0
6,4;0
6,5;0
6,6;0
6,8;0
7;0
7,2;0
7,4;0
7,6;0
7,8;0
8;0
8,2;0
8,4;0
8,6;0
8,8;0
9;0
9,2;0
9,4;0
