Setting;KV
0;1,06
0,1;1,21
0,2;1,38
0,3;1,56
0,4;1,76
0,5;1,97
0,6;2,2
0,7;2,43
0,8;2,68
0,9;2,93
1;3,19
1,1;3,46
1,2;3,73
1,3;4,01
1,4;4,29
1,5;4,58
1,6;4,87
1,7;5,17
1,8;5,47
1,9;5,78
2;6,09
2,1;6,41
2,2;6,74
2,3;7,09
2,4;7,44
2,5;7,8
2,6;8,18
2,7;8,58
2,8;9
2,9;9,44
3;9,9
3,1;10,38
3,2;10,89
3,3;11,43
3,4;12
3,5;12,6
3,6;13,22
3,7;13,88
3,8;14,56
3,9;15,28
4;16,02
4,1;16,79
4,2;17,57
4,3;18,38
4,4;19,19
4,5;20,02
4,6;20,82
4,7;21,61
4,8;22,38
4,9;23,12
5;23,81
5,1;24,44
5,2;25
5,3;25,46
5,4;25,8
5,5;26
